Entity,Year,GDP_Growth,GDP_Per_Capita
Bahamas,2000,4.148419308,24940.07751
Bahamas,2001,2.626009827,25371.92377
Bahamas,2002,2.704956247,26781.61959
Bahamas,2003,-1.264916676,26429.12478
Bahamas,2004,0.882373745,26650.29342
Bahamas,2005,3.396084205,28602.41819
Bahamas,2006,2.516592217,29184.78651
Bahamas,2007,1.446099912,30051.84896
Bahamas,2008,-2.32364807,29392.38244
Bahamas,2009,-4.175428056,27512.9131
Bahamas,2010,1.538662487,27473.10043
Bahamas,2011,0.613170736,27090.83768
Bahamas,2012,2.997903207,28552.02427
Bahamas,2013,-2.863309257,27432.95343
Bahamas,2014,1.847260843,28705.61708
Bahamas,2015,0.996758611,30289.40225
Bahamas,2016,-0.961908777,30266.58592
Bahamas,2017,2.799518639,31337.18325
Bahamas,2018,2.62988986,32124.40511
Bahamas,2019,-1.357265209,32979.54013
Bahamas,2020,-21.42346307,25155.67254
Cayman Islands,2000,..,..
Cayman Islands,2001,..,..
Cayman Islands,2002,..,..
Cayman Islands,2003,..,..
Cayman Islands,2004,..,..
Cayman Islands,2005,..,..
Cayman Islands,2006,..,87085.09374
Cayman Islands,2007,3.162625227,89888.26182
Cayman Islands,2008,-0.357401201,89655.11962
Cayman Islands,2009,-7.200482447,81373.57115
Cayman Islands,2010,-2.715635262,76837.66996
Cayman Islands,2011,1.169062198,75280.96076
Cayman Islands,2012,1.229753657,75101.59136
Cayman Islands,2013,1.27933102,75113.73324
Cayman Islands,2014,2.654527985,75845.30604
Cayman Islands,2015,2.833122226,76379.20951
Cayman Islands,2016,3.239974339,77802.25416
Cayman Islands,2017,3.184045923,80053.94445
Cayman Islands,2018,4.267267452,83865.55316
Cayman Islands,2019,3.915635342,88254.29037
Cayman Islands,2020,-4.954806408,82338.79829
Czechia,2000,4.010669619,6062.921528
Czechia,2001,2.917219546,6669.074948
Czechia,2002,1.513459483,8101.260186
Czechia,2003,3.300836831,9852.456779
Czechia,2004,4.736339704,11782.55467
Czechia,2005,6.375028858,13442.49163
Czechia,2006,6.623172985,15259.07882
Czechia,2007,5.488825961,18452.65328
Czechia,2008,2.612268052,22774.70451
Czechia,2009,-4.798324168,19817.42158
Czechia,2010,2.714665115,20160.43551
Czechia,2011,1.772380837,22049.10808
Czechia,2012,-0.770668176,20014.0354
Czechia,2013,-0.041812408,20260.4955
Czechia,2014,2.245212186,20038.41632
Czechia,2015,4.95875849,17931.59877
Czechia,2016,2.580870147,18753.96867
Czechia,2017,5.173565288,20913.19763
Czechia,2018,2.830305894,23705.93298
Czechia,2019,3.565776572,24062.719
Czechia,2020,-5.304879546,23472.89155
Djibouti,2000,..,737.6121836
Djibouti,2001,..,742.1337911
Djibouti,2002,..,743.0132704
Djibouti,2003,..,764.6344652
Djibouti,2004,..,806.2616529
Djibouti,2005,..,844.4483574
Djibouti,2006,..,898.4646281
Djibouti,2007,..,969.5732202
Djibouti,2008,..,1119.152333
Djibouti,2009,..,1150.937586
Djibouti,2010,..,1213.233526
Djibouti,2011,..,1306.345528
Djibouti,2012,..,1400.193579
